SourceID,DestinationID,Duration,StartTime,Community,target
8b21e347-0f3e-44bf-94a8-6191f75b6f87,24bfb1c0-cda6-496b-95a7-54636aab37f9,7000,1077580800000,964,0
79d89361-adc1-44ef-9835-4e43b9e50d08,055db2bf-4400-4f7f-a093-84c831a02954,6000,1078002732000,591,1
d6c4aee2-4848-445c-822c-e63311c894ef,aa416154-a8db-4998-b89d-105e51f60f67,37000,1078138154000,1412,0
376342c6-029e-4e64-b5a0-e9a6598f3e26,a5df7442-b5bd-4dd6-80d3-537f827fff59,8000,1079562017000,2125,1
71b783fa-82da-4ee5-adc1-a1799fcb84b9,256a86ff-7e55-4150-b1f0-ca2aae668c6c,18000,1077803917000,1779,1
dd86fcef-b4e4-41fe-b70f-b37213386c03,ebf7e6f9-a104-4d5e-a160-0c9622103a96,22000,1077706046000,2159,0
979e8770-3db6-4a71-ae2d-cc49275ace07,30c6982b-5c69-4c37-93f3-2656b600c731,9000,1078068879000,611,1
8f5adbdc-dde3-4084-874b-c7ce6b4346af,2c7f8357-be3d-44be-8177-8a24e5a2e339,11000,1078299575000,590,1
40e2b138-cf35-48ac-a100-6ccd8e626932,3a7c2239-1bf3-459b-9fe0-c4ca54968f4a,5000,1078805086000,591,1
ae3b1dd1-5fe3-4086-b2d2-214414adc4b4,4f6956e3-af3a-422c-95f5-7eee5ebc847c,15000,1077917664000,1342,1
57137012-1077-4e2f-9514-aade2a6609a0,82f61d92-07b9-449b-838f-cc3046dc6792,6000,1078038588000,610,1
699b9dcf-46c3-40f8-a504-694d1d9b8f40,60c8ef90-32ac-4bfa-8bdc-73b86e0fc302,20000,1078555837000,1162,1
14d6f61f-ac80-47ef-9437-1590f8fd5798,87562b6e-2885-41d3-9733-1f326ba9e4e6,24000,1077589362000,2122,1
392750a3-6eaf-494b-82cb-30e8776c3226,adc46e2d-db93-4a0e-a811-a2e95c361f31,16000,1077676039000,647,1
c1a359b1-6f05-41a8-85d5-9bcc294463cf,c57f5e71-547e-4498-b366-74bf334c85f4,22000,1077532894000,640,1
78e85c6b-853f-4b2f-a632-05964cc5ffa4,2763f47d-2076-44e8-bb5a-d95b2d56f725,17000,1077680793000,1376,1
b72850ae-de6d-4eed-a810-a263903256ef,605789c0-2a20-493a-be1a-a0e72483556d,23000,1080821946000,1374,1
f663323c-8e27-450f-9247-111224c61947,b91df516-740f-419d-96a4-d5c9c5a51299,27000,1077573285000,1759,1
b6cb0328-0a60-475f-a112-6b3d53abf148,344fb463-6056-4431-9210-89b0ce9600e4,5000,1078067920000,611,1
2d888ca4-a2f5-4fb4-aafb-512d9adf38c5,a37a8724-87e5-4aa4-8daa-dafc88363dc7,24000,1080064389000,413,0
8a61e579-cd34-481f-be90-3f343814c2d0,3d2204cd-5df5-472a-9c27-dedf339888fa,20000,1077894679000,1342,1
ffa4f4cd-44f4-4cc8-a4b0-841a816df0c4,9502b40a-3e04-45de-b681-61b67bb1aae1,10000,1078037666000,718,1
56edbb05-712d-4bf2-a82c-d6dfbb9f4b8f,a624514f-b1d4-454d-8aa0-736bd458aba4,6000,1078304201000,751,1
647ae3c9-4663-4895-804f-edcfa8415e54,fa0c5923-0fbb-4101-84b3-da8ccbbbbf12,9000,1078194463000,620,1
6c37d440-5e66-452b-9415-b4df27e7c729,8789b617-9472-4476-8669-ad841fe97958,6000,1077803913000,1451,0
